solution.name,solution.number,nozzle,orifice.size,pressure,rep,dv10,dv50,dv90,rs,fines (<200),density,viscosity,ph,conductivity,surface.tension
water,1,TDXLD,0.3,40,3,422.61,809.78,1546.55,1.39,0.85,0.99872,1,7.77,774,
water,1,TDXLD,0.4,40,1,419.45,771.45,1107.36,0.89,0.98,0.99871,1.001,7.78,769,
water,1,TDXLD,0.4,40,2,417.1,768.65,1100.06,0.89,0.99,0.99872,1,7.81,771,
water,1,TDXLD,0.4,40,3,415.54,764.72,1092.93,0.89,1,0.99872,1,7.77,774,
water,1,TDXLD,0.5,40,1,457.3,850.26,1255.33,0.94,0.7,0.99871,1.001,7.78,769,
water,1,TDXLD,0.5,40,2,457.97,850.35,1253.15,0.94,0.69,0.99872,1,7.81,771,
water,1,TDXLD,0.5,40,3,456.61,850.05,1257.19,0.94,0.7,0.99872,1,7.77,774,
water,1,TDXLD,0.6,40,1,520.69,949.87,1387.72,0.91,0.3,0.99871,1.001,7.78,769,
water,1,TDXLD,0.6,40,2,524.23,956.8,1407.96,0.92,0.23,0.99872,1,7.81,771,
water,1,TDXLD,0.6,40,3,524.36,952.36,1399.33,0.92,0.23,0.99872,1,7.77,774,
water,1,ULD,0.4,40,1,356.76,666.24,995.23,0.96,1.62,0.99871,1.001,7.78,769,
water,1,ULD,0.4,40,2,353.91,659.19,980.57,0.95,1.6,0.99872,1,7.81,771,
water,1,ULD,0.4,40,3,353.39,660.74,981.82,0.95,1.63,0.99872,1,7.77,774,
water,1,ULD,0.5,40,1,316.6,602.35,921.18,1,2.39,0.99871,1.001,7.78,769,
water,1,ULD,0.5,40,2,316.97,603.11,927.39,1.01,2.35,0.99872,1,7.81,771,
water,1,ULD,0.5,40,3,318.13,605.3,934.29,1.02,2.32,0.99872,1,7.77,774,
water,1,TTI,0.3,40,1,388.96,756.12,1142.19,1,1.16,0.99871,1.001,7.78,769,
water,1,TTI,0.3,40,2,388.17,755.52,1144.59,1,1.17,0.99872,1,7.81,771,
water,1,TTI,0.3,40,3,387.83,760.65,1166.1,1.02,1.22,0.99872,1,7.77,774,
water,1,TTI,0.4,40,1,390.91,770.53,1151.06,0.99,1.22,0.99871,1.001,7.78,769,
water,1,TTI,0.4,40,2,394.48,772.37,1151.27,0.98,1.19,0.99872,1,7.81,771,
water,1,TTI,0.4,40,3,385.89,764.88,1141.09,0.99,1.28,0.99872,1,7.77,774,
water,1,TTI,0.5,40,1,381.88,781.58,1218.73,1.07,1.34,0.99871,1.001,7.78,769,
water,1,TTI,0.5,40,2,383.63,775.11,1218.01,1.08,1.22,0.99872,1,7.81,771,
water,1,TTI,0.5,40,3,378.81,772.42,1249.4,1.13,1.27,0.99872,1,7.77,774,
