trt,rep,nozzle.spacing,boom.height,pressure,nozzle,solution.name,density,viscosity,surface.tension,cv
38,3,20,30,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,11.00946414
39,1,30,24,20,TDXL11004-D,dicamba,1.00128,1.026,71.51,19.98308852
39,2,30,24,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,18.91090449
39,3,30,24,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,20.45625065
40,1,30,30,20,TDXL11004-D,dicamba,1.00128,1.026,71.51,26.32789495
40,2,30,30,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,26.27657655
40,3,30,30,20,TDXL11004-D,dicamba,1.00128,1.027,71.57,26.1111794
41,1,20,24,40,ULD 120-04,dicamba,1.00128,1.026,71.51,8.546601813
41,2,20,24,40,ULD 120-04,dicamba,1.00128,1.027,71.57,5.705898233
41,3,20,24,40,ULD 120-04,dicamba,1.00128,1.027,71.57,5.817977975
42,1,20,30,40,ULD 120-04,dicamba,1.00128,1.026,71.51,7.897380891
42,2,20,30,40,ULD 120-04,dicamba,1.00128,1.027,71.57,4.590309196
42,3,20,30,40,ULD 120-04,dicamba,1.00128,1.027,71.57,4.446595081
43,1,30,24,40,ULD 120-04,dicamba,1.00128,1.026,71.51,8.770199833
43,2,30,24,40,ULD 120-04,dicamba,1.00128,1.027,71.57,7.592146842
43,3,30,24,40,ULD 120-04,dicamba,1.00128,1.027,71.57,7.483066525
44,1,30,30,40,ULD 120-04,dicamba,1.00128,1.026,71.51,6.027630998
44,2,30,30,40,ULD 120-04,dicamba,1.00128,1.027,71.57,4.923045441
44,3,30,30,40,ULD 120-04,dicamba,1.00128,1.027,71.57,4.82518296
45,1,20,24,20,ULD 120-04,dicamba,1.00128,1.026,71.51,9.008813528
45,2,20,24,20,ULD 120-04,dicamba,1.00128,1.027,71.57,9.083097028
45,3,20,24,20,ULD 120-04,dicamba,1.00128,1.027,71.57,9.375009922
46,1,20,30,20,ULD 120-04,dicamba,1.00128,1.026,71.51,9.856881029
46,2,20,30,20,ULD 120-04,dicamba,1.00128,1.027,71.57,10.59107794
46,3,20,30,20,ULD 120-04,dicamba,1.00128,1.027,71.57,10.65828975
47,1,30,24,20,ULD 120-04,dicamba,1.00128,1.026,71.51,19.86687779
47,2,30,24,20,ULD 120-04,dicamba,1.00128,1.027,71.57,19.44423641
47,3,30,24,20,ULD 120-04,dicamba,1.00128,1.027,71.57,19.90397664
48,1,30,30,20,ULD 120-04,dicamba,1.00128,1.026,71.51,9.827401204
48,2,30,30,20,ULD 120-04,dicamba,1.00128,1.027,71.57,9.900316887
48,3,30,30,20,ULD 120-04,dicamba,1.00128,1.027,71.57,10.17036194
49,1,20,24,40,TTI11004,dicamba+dra1,1.00164,1.406,30.21,6.473708744
49,2,20,24,40,TTI11004,dicamba+dra1,1.00164,1.373,30.89,5.640621294
49,3,20,24,40,TTI11004,dicamba+dra1,1.00174,1.376,30.84,5.401691496
50,1,20,30,40,TTI11004,dicamba+dra1,1.00164,1.406,30.21,5.554124037
50,2,20,30,40,TTI11004,dicamba+dra1,1.00164,1.373,30.89,6.267637681
50,3,20,30,40,TTI11004,dicamba+dra1,1.00174,1.376,30.84,5.145488762
51,1,30,24,40,TTI11004,dicamba+dra1,1.00164,1.406,30.21,8.874272654
51,2,30,24,40,TTI11004,dicamba+dra1,1.00164,1.373,30.89,8.616892829
51,3,30,24,40,TTI11004,dicamba+dra1,1.00174,1.376,30.84,7.251862618
52,1,30,30,40,TTI11004,dicamba+dra1,1.00164,1.406,30.21,11.1152847
52,2,30,30,40,TTI11004,dicamba+dra1,1.00164,1.373,30.89,9.249794442
52,3,30,30,40,TTI11004,dicamba+dra1,1.00174,1.376,30.84,6.799846495
53,1,20,24,20,TTI11004,dicamba+dra1,1.00164,1.406,30.21,5.451171878
53,2,20,24,20,TTI11004,dicamba+dra1,1.00164,1.373,30.89,8.030175533
53,3,20,24,20,TTI11004,dicamba+dra1,1.00174,1.376,30.84,7.798297094
54,1,20,30,20,TTI11004,dicamba+dra1,1.00164,1.406,30.21,8.782172939
54,2,20,30,20,TTI11004,dicamba+dra1,1.00164,1.373,30.89,8.613254539
54,3,20,30,20,TTI11004,dicamba+dra1,1.00174,1.376,30.84,8.396323974
55,1,30,24,20,TTI11004,dicamba+dra1,1.00164,1.406,30.21,20.56323824
55,2,30,24,20,TTI11004,dicamba+dra1,1.00164,1.373,30.89,22.90943594
55,3,30,24,20,TTI11004,dicamba+dra1,1.00174,1.376,30.84,21.37738045
56,1,30,30,20,TTI11004,dicamba+dra1,1.00164,1.406,30.21,27.34445899
56,2,30,30,20,TTI11004,dicamba+dra1,1.00164,1.373,30.89,28.4826294
56,3,30,30,20,TTI11004,dicamba+dra1,1.00174,1.376,30.84,30.40075398
57,1,20,24,40,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,16.10857324
57,2,20,24,40,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,18.14755928
57,3,20,24,40,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,16.97465252
58,1,20,30,40,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,9.390034814
58,2,20,30,40,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,8.102627429
58,3,20,30,40,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,13.95939214
59,1,30,24,40,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,21.64498549
59,2,30,24,40,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,21.52839058
59,3,30,24,40,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,25.31856503
60,1,30,30,40,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,24.02896603
60,2,30,30,40,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,21.89520927
60,3,30,30,40,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,22.65234755
61,1,20,24,20,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,29.54125416
61,2,20,24,20,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,28.22435059
61,3,20,24,20,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,26.52481061
62,1,20,30,20,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,28.6720252
62,2,20,30,20,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,25.93428423
62,3,20,30,20,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,21.14644752
63,1,30,24,20,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,36.51672276
63,2,30,24,20,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,39.3501247
63,3,30,24,20,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,35.21770389
64,1,30,30,20,TDXL11004-D,dicamba+dra1,1.00164,1.406,30.21,22.80777369
64,2,30,30,20,TDXL11004-D,dicamba+dra1,1.00164,1.373,30.89,23.64027426
64,3,30,30,20,TDXL11004-D,dicamba+dra1,1.00174,1.376,30.84,22.44328884
65,1,20,24,40,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,6.096903009
65,2,20,24,40,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,6.600298202
65,3,20,24,40,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,6.451837221
66,1,20,30,40,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,5.80633245
66,2,20,30,40,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,5.479506471
66,3,20,30,40,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,6.656879871
67,1,30,24,40,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,12.30382557
67,2,30,24,40,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,14.59144657
67,3,30,24,40,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,11.40643514
68,1,30,30,40,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,10.63315983
68,2,30,30,40,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,8.164485086
68,3,30,30,40,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,8.307765056
69,1,20,24,20,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,13.01628295
69,2,20,24,20,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,13.94359285
69,3,20,24,20,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,12.09652875
70,1,20,30,20,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,14.38048681
70,2,20,30,20,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,13.87542884
70,3,20,30,20,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,11.31553588
71,1,30,24,20,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,34.57407442
71,2,30,24,20,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,32.55274271
71,3,30,24,20,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,33.44639425
72,1,30,30,20,ULD 120-04,dicamba+dra1,1.00164,1.406,30.21,15.08859114
72,2,30,30,20,ULD 120-04,dicamba+dra1,1.00164,1.373,30.89,18.55167777
72,3,30,30,20,ULD 120-04,dicamba+dra1,1.00174,1.376,30.84,17.01727198
73,1,20,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.02,7.901815354
73,2,20,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.05,5.685438043
73,3,20,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.11,6.663833344
74,1,20,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.02,6.252812249
74,2,20,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.05,8.314723947
74,3,20,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.11,7.496065944
75,1,30,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.02,5.026049668
75,2,30,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.05,8.982522452
75,3,30,24,40,TTI11004,dicamba+dra2,1.00211,1.072,29.11,10.17644931
76,1,30,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.02,9.378169306
76,2,30,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.05,11.085316
76,3,30,30,40,TTI11004,dicamba+dra2,1.00211,1.072,29.11,10.74011637
77,1,20,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.02,9.735835307
77,2,20,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.05,13.3911756
77,3,20,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.11,11.93421516
78,1,20,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.02,15.93640082
78,2,20,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.05,12.16843026
78,3,20,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.11,18.63503618
79,1,30,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.02,26.96270851
79,2,30,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.05,24.51123067
79,3,30,24,20,TTI11004,dicamba+dra2,1.00211,1.072,29.11,30.72205422
80,1,30,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.02,22.454922
80,2,30,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.05,19.22472737
80,3,30,30,20,TTI11004,dicamba+dra2,1.00211,1.072,29.11,22.61446507
81,1,20,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,20.20776597
81,2,20,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,13.5030496
81,3,20,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,17.27507946
82,1,20,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,27.04908815
82,2,20,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,25.63306866
82,3,20,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,25.75198721
83,1,30,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,37.99195392
83,2,30,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,32.28192294
83,3,30,24,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,31.17626151
84,1,30,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,24.31044823
84,2,30,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,21.36778291
84,3,30,30,40,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,24.1496525
85,1,20,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,38.17966415
85,2,20,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,38.22560981
85,3,20,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,34.1997189
86,1,20,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,28.03475825
86,2,20,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,24.28147651
86,3,20,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,22.739326
87,1,30,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,32.72925363
87,2,30,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,33.74602967
87,3,30,24,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,27.66629047
88,1,30,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.02,55.53124526
88,2,30,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.05,58.33273463
88,3,30,30,20,TDXL11004-D,dicamba+dra2,1.00211,1.072,29.11,59.79460628
89,1,20,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,7.55105844
89,2,20,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,6.893803888
89,3,20,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,10.89155418
90,1,20,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,9.433261731
90,2,20,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,8.697748974
90,3,20,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,9.423901462
91,1,30,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,10.15565473
91,2,30,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,9.869145111
91,3,30,24,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,10.46776098
92,1,30,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,14.23097866
92,2,30,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,13.34882007
92,3,30,30,40,ULD 120-04,dicamba+dra2,1.00211,1.072,29.11,11.73268341
93,1,20,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.02,14.54146194
93,2,20,24,20,ULD 120-04,dicamba+dra2,1.00211,1.072,29.05,12.06918476
